ID,Gender,PE,EE,SI,FC,HM,BI,UB
1,Male,0.113,0.119,-2.14,-0.827,-0.684,-0.557,-0.831
2,Female,-1.953,-0.631,-0.801,-0.824,0.429,-0.43,-0.131
3,Female,-1.122,-0.093,-1.191,0.279,-1.267,-1.01,-0.242
4,Female,0.766,1.124,-0.234,-0.903,0.17,0.548,-0.16
5,Female,0.539,0.355,-0.314,2.146,-0.833,1.285,2.232
6,Male,1.658,0.57,0.207,0.473,-1.495,0.537,-0.219
7,Male,0.89,0.574,1.167,-0.62,-1.43,0.285,0.014
8,Female,-0.599,-0.945,-0.336,0.245,-0.356,-0.102,1.554
9,Female,-1.377,-1.328,-0.594,0.753,1.254,-0.787,0.035
10,Female,0.475,1.171,1.752,-0.349,2.471,1.661,1.268
11,Female,0.562,-1.846,-0.181,-0.722,-0.538,-1.025,-1.344
12,Male,1.349,0.693,1.222,0.003,1.281,1.588,0.255
13,Male,0.176,-2.259,0.128,-1.268,-0.984,-0.493,-0.458
14,Male,-0.619,0.165,0.914,1.122,1.021,0.994,1.123
15,Female,-0.508,0.53,0.283,-0.299,0.592,-0.075,-0.461
16,Female,0.36,-0.505,-0.406,-1.561,-1.014,-0.338,-0.602
17,Female,1.951,0.922,1.459,0.867,1.047,2.353,1.759
18,Female,1.555,,1.327,1.042,0.781,2.789,2.3
19,Male,-0.217,-1.592,-1.437,-0.153,-1.111,-0.168,-0.026
20,Male,0.517,-0.191,-0.293,-0.187,-2.307,-0.434,0.298
21,Male,-0.724,0.494,0.416,-2.109,-1.601,-1.411,-0.533
22,Male,0.568,0.722,1.419,-0.264,-2.001,0.651,1.517
23,Female,0.086,1.182,0.932,1.523,1.677,0.56,1.013
24,Female,0.538,-0.412,0.074,-1.037,0.804,0.007,-0.95
25,Female,2.149,-0.472,-0.818,1.007,0.41,1.393,-0.064
26,Male,-0.993,-0.573,-0.681,-0.664,-1.107,-1.435,-1.858
27,Male,0.444,-1.787,-0.69,-0.218,1.232,-0.044,-0.254
28,Female,-1.035,1.309,0.829,0.208,-0.628,-0.077,-0.349
29,Female,0.684,0.965,0.854,0.944,1.24,0.874,1.409
30,Female,-0.283,0.652,0.206,-1.372,-0.848,-0.901,-0.815
31,Male,-0.743,-0.805,0.413,0.431,-0.808,-0.22,-0.381
32,Male,-0.491,-2.164,-1.534,-0.851,-1.199,-1.639,-0.481
33,Male,1.486,1.27,0.75,0.85,0.138,1.21,1.158
34,Male,-0.033,-1.281,-0.827,-0.009,-1.294,0.035,-0.023
35,Female,2.023,1.21,1.809,1.127,-0.045,1.444,1.299
36,Female,-0.516,-0.33,0.144,0.496,0.042,-0.166,-0.913
37,Female,-0.303,-1.322,-0.534,-1.129,0.75,-0.765,-0.564
38,Male,-0.378,-0.406,-1.541,-0.88,-0.107,-0.933,-0.728
39,Male,-0.533,0.406,1.566,1.634,0.91,0.542,1.04
40,Female,0.399,-0.266,-0.845,0.94,-0.244,0.344,0.961
41,Female,-2.11,-0.593,-0.746,-1.615,-1.93,-2.1,-0.917
42,Female,-0.871,-0.471,0.036,-0.664,-0.026,-0.344,0.453
43,Male,1.702,0.423,1.308,0.539,1.364,1.644,1.286
44,Male,1.426,-0.034,1.474,2.367,0.88,1.749,2.049
45,Male,0.383,0.888,1.299,1.705,1.052,1.022,1.632
46,Male,0.769,1.055,0.522,0.093,-0.663,0.264,0.578
47,Female,0.033,0.659,0.255,1.505,0.843,-0.26,1.021
48,Female,1.118,-0.538,-0.255,0.258,-0.263,0.497,0.396
49,Male,1.797,0.867,0.905,0.521,1.497,1.308,0.845
50,Female,-0.471,-0.105,-0.762,-1.22,-1.732,-0.694,-1.378
51,Female,0.173,-0.083,2.061,-1.154,0.227,0.019,0.117
52,Male,-0.439,-0.913,0.291,0.248,-0.324,-0.889,-0.436
53,Female,0.766,1.416,0.098,1.804,0.611,1.315,1.898
54,Female,0.721,0.17,-0.875,-0.556,-1.044,-0.243,-0.091
55,Female,0.362,1.479,0.327,0.456,-0.717,-0.121,-0.009
56,Female,1.516,0.537,0.014,1.936,-0.388,1.636,2.503
57,Female,0.46,1.039,-1.424,0.747,1.555,0.339,1.062
58,Female,1.564,1.35,0.459,0.87,-0.115,1.846,1.763
59,Female,0.254,-0.998,-2.369,-0.516,-1.099,-0.957,-1.309
60,Female,0.473,0.457,-0.438,0.954,1.821,1.003,0.898
61,Male,0.475,1.3,0.682,1.073,-0.021,1.177,1.301
62,Male,-0.822,0.6,-0.531,-0.826,-0.11,-0.535,-1.462
63,Female,-0.279,0.156,-0.468,-1.848,0.75,-0.273,-0.287
64,Male,0.182,-0.091,0.94,-0.624,2.231,0.778,-0.577
65,Female,0.692,0.093,-0.292,0.343,0.323,-0.083,0.202
66,Male,0.491,0.816,0.89,-0.397,1.425,0.804,0.958
67,Female,-3.353,-1.832,-0.399,-1.057,-0.413,-2.173,-1.074
68,Female,0.843,0.022,-0.89,-0.187,1.333,0.635,-1.146
69,Male,-0.581,0.79,0.648,0.297,0.777,-0.043,0.204
70,Male,0.193,-0.086,-0.067,0.771,-0.638,-0.284,0.001
71,Female,1.108,1.93,1.911,1.29,1.549,1.815,0.591
72,Female,-0.499,-1.143,-1.006,-0.622,-0.695,0.254,-0.845
73,Female,1.784,-1.221,1.104,-1.104,0.114,1.07,-0.515
74,Female,-1.148,1.088,0.983,-1.341,0.506,-0.162,-0.391
75,Female,-0.85,0.972,-1.14,0.729,0.3,-0.634,-1.733
76,Female,-1.689,-0.328,1.519,0.635,-0.388,-0.466,-1.591
77,Female,-3.03,-1.321,-0.047,-2.243,-1.534,-1.673,-2.262
78,Male,-0.499,-1.822,0.465,1.724,-0.334,-0.079,0.051
79,Male,0.118,-1.463,-0.573,-1.717,-2.107,-0.871,-0.447
80,Female,-0.471,-1.181,1.575,0.233,1.305,-0.434,-1.03
81,Male,0.498,0.299,-0.595,-0.318,-0.04,0.589,0.171
82,Female,0.538,0.148,1.722,1.353,0.029,1.739,1.546
83,Female,-1.29,0.327,-1.016,1.455,-0.215,-1.221,-0.302
84,Male,-1.596,-0.964,-1.571,-1.726,-0.983,-1.243,-2.053
85,Male,0.405,0.59,0.073,-0.521,-1.771,-0.589,-0.888
86,Female,-0.894,-0.96,-0.9,-0.433,-0.504,-1.078,-1.347
87,Female,1.531,0.841,1.204,0.165,0.405,1.607,0.973
88,Female,-0.656,0.028,-0.006,0.881,-0.968,0.337,-0.445
89,Female,0.823,-0.593,,0.856,0.352,0.113,0.464
90,Female,-0.682,2.101,-0.735,-2.062,-1.084,-1.16,-1.228
91,Female,0.366,0.114,0.089,-0.764,0.486,0.692,0.741
92,Female,-1.706,0.385,0.608,0.296,-0.55,-0.793,-1.556
93,Female,1.551,1.903,2.269,1.109,2.156,2.162,1.189
94,Female,-0.295,0.626,0.228,0.302,-0.609,-0.232,0.404
95,Female,-0.215,1.148,-0.018,-0.013,-0.199,1.089,0.85
96,Female,-1.62,-0.534,-1.088,-0.369,-2.137,-1.844,-0.938
97,Male,-0.827,-2.846,-0.056,-1.495,-2.112,-1.98,-1.189
98,Male,0.649,-0.154,0.527,1.295,-1.024,0.305,0.466
99,Male,0.7,-0.816,0.094,0.307,0.787,1.954,0.933
100,Female,2.168,1.159,-0.903,1.165,0.247,0.535,0.133
101,Female,0.048,-0.913,-0.516,0.912,1.144,0.083,0.57
102,Female,-0.477,-0.534,1.046,-1.113,-0.062,0.053,-0.317
103,Female,-0.232,1.802,0.434,-1.176,-0.265,-0.198,0.254
104,Female,-0.138,0.344,0.766,1.232,1.091,1.226,0.448
105,Male,-0.068,0.941,0.277,-1.054,-0.88,-0.512,-0.126
106,Female,-0.388,-0.279,-1.788,-0.435,-1.128,-0.45,-0.245
107,Male,-0.762,-1.31,0.058,-0.98,-1.81,-1.165,-0.582
108,Male,-0.103,-0.921,-1.756,0.428,0.014,-0.455,0.005
109,Female,0.388,0.967,-0.369,-0.58,-1.46,0.447,0.759
110,Female,0.982,-0.647,-1.04,-0.62,0.378,-0.171,-0.423
111,Male,0.773,0.409,-0.735,-0.592,-0.021,-0.359,-0.138
112,Female,0.053,-2.281,-0.207,-0.425,-0.739,-0.556,-0.862
113,Female,0.781,0.077,0.266,-0.042,-0.492,0.27,-0.517
114,Male,-1.171,0.21,-0.861,-0.596,-0.338,-1.105,-0.329
115,Female,0.293,1.049,0.698,-0.255,2.135,1.594,1.28
116,Male,-0.237,-0.497,-2.173,-1.215,-0.202,-0.314,-0.448
117,Female,-0.232,-1.568,1.572,0.541,2.212,1.039,0.225
118,Female,-1.069,-1.456,0.547,0.523,1.366,-0.557,-1.01
119,Male,0.122,-0.322,-0.477,-0.347,0.441,0.345,0.281
120,Male,1.763,1.972,0.929,-0.558,0.076,1.201,0.575
121,Female,-0.989,1.079,1.025,-0.041,-0.397,-0.767,-0.268
122,Female,-0.278,-0.744,-1.221,0.662,-0.912,-0.836,-1.055
123,Female,-0.84,-2.44,-1.558,-1.001,0.763,-0.824,-1.264
124,Male,-1.008,1.116,0.737,0.734,-0.436,-1.071,0.304
125,Male,1.574,-0.641,-0.369,-0.549,-1.412,-0.316,-0.163
126,Female,0.955,0.344,-0.353,-0.262,-0.162,-0.232,-0.735
127,Female,-1.649,1.408,-0.082,0.453,1.62,0.531,1.475
128,Male,0.761,1.073,0.015,0.159,0.805,0.294,1.161
129,Female,-1.495,-0.027,-0.584,-1.138,-0.489,-0.179,0.016
130,Female,-0.099,-0.872,-1.964,-0.181,-1.275,-0.431,-0.344
131,Male,0.596,-0.37,-0.68,0.329,0.14,-0.171,-0.759
132,Male,-0.31,-0.155,-0.063,1.348,0.727,-0.555,-1.577
133,Female,-0.526,-1.232,-0.064,0.817,-0.33,-1.796,-1.97
134,Female,1.287,-0.475,-0.197,1.145,1.047,0.908,1.393
135,Male,2.581,0.63,0.263,-0.092,0.133,1.463,0.817
136,Male,0.957,0.898,1.093,2.392,-0.683,0.778,1.129
137,Female,0.305,0.622,0.481,0.287,0.287,0.851,0.209
138,Male,0.075,-0.597,-0.839,-1.024,1.565,-0.4,-0.54
139,Male,0.752,-0.366,0.861,-0.855,0.843,0.605,-1.376
140,Male,-0.441,0.315,-0.73,-0.165,0.55,0.181,-0.26
141,Female,0.016,1.293,0.349,0.172,0.965,-0.101,0.286
142,Female,0.652,1.047,1.12,1.867,0.071,0.933,0.955
143,Female,-0.8,-0.158,-2.105,-0.502,-2.259,-2.588,-1.355
144,Female,1.924,-1.086,2.332,-0.865,-0.87,0.389,-0.377
145,Male,-0.705,-0.731,0.246,-0.103,-0.89,-1.506,-1.831
146,Female,0.673,1.255,0.505,-0.139,0.335,0.871,0.653
147,Male,-2.165,0.294,-1.02,-0.359,-0.294,-1.705,-1.504
148,Male,-0.514,0.558,0.267,-0.378,-0.6,-0.322,0.499
149,Female,-0.721,-0.272,0.698,0.557,0.23,-0.321,-0.1
150,Female,-0.194,0.375,0.009,-0.818,0.83,1.499,1.56
151,Female,1.19,0.732,0.897,1.074,0.801,1.069,-0.358
152,Male,-0.154,0.39,1.653,-0.625,-0.368,0.547,1.214
153,Male,0.719,-0.804,-1.22,-0.87,-0.852,0.33,0.334
154,Male,-0.513,0.864,0.099,-0.063,-1.134,-0.774,-0.768
155,Female,-0.945,-1.037,-1.167,-0.257,-1.121,-0.484,0.195
156,Female,-0.828,0.764,0.644,0.117,0.151,-0.071,-0.881
157,Female,-1.143,1.138,1.171,0.816,1.42,-0.188,0.459
158,Female,-0.555,-1.097,0.944,0.247,-0.062,0.433,2.205
159,Male,0.491,0.46,-0.084,0.334,0.639,1.353,0.83
160,Male,0.038,-0.763,0.331,0.054,0.164,0.109,-0.093
161,Female,-0.394,-1.053,-0.898,1.308,0.847,-0.328,1.362
162,Female,0.67,0.911,-0.636,-1.372,0.334,0.453,-0.707
163,Female,-1.311,-1.333,-1.504,-0.059,0.388,-1.258,-1.159
164,Female,-0.015,-0.34,0.411,0.007,0.697,0.651,0.364
165,Male,-1.108,-0.609,-1.141,-1.331,0.798,-1.4,-0.524
166,Male,-1.598,-1.59,-2.313,-1.252,-1.163,-2.524,-0.773
167,Male,-2.802,-0.323,-0.786,-1.771,-0.567,-2.435,-1.508
168,Male,-1.583,-0.087,-2.558,0.406,-0.464,-0.479,-0.501
169,Male,-0.271,-0.612,-0.092,-2.891,-1.268,-1.759,-2.703
170,Male,0.39,0.871,-0.234,0.677,0.534,0.26,0.58
171,Female,0.015,0.4,0.293,0.901,0.402,0.561,0.363
172,Male,-0.477,-0.333,0.173,-0.172,0.53,0.598,0.65
173,Female,-0.619,-0.519,-0.836,2.295,0.241,-0.7,0.125
174,Male,-1.38,-0.843,0.531,0.851,-0.456,-0.375,0.023
175,Male,0.402,0.003,1.04,0.283,0.897,0.049,-0.937
176,Male,1.285,0.012,-0.676,0.088,0.552,-0.785,0.422
177,Male,-3.295,-2.349,-0.418,-1.517,-1.274,-1.648,-1.361
178,Male,0.954,0.749,0.691,-0.652,-0.863,0.308,-0.067
179,Male,-0.918,0.248,0.537,0.547,1.902,-0.76,-1.997
180,Male,-1.309,0.265,1.156,-1.689,0.836,0.147,0.514
181,Male,-0.458,-0.286,-0.503,-1.29,-0.644,-1.396,-0.95
182,Male,-0.19,1.795,-0.591,-0.128,0.684,-0.03,-0.19
183,Female,0.626,1.678,1.27,0.004,2.805,1.355,-0.607
184,Female,2.322,0.621,1.185,1.202,0.069,1.317,1.394
185,Female,1.538,-0.549,0.952,1.285,0.068,1.089,0.808
